Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Unnamed: 11,Item_Outlet_Sales
FDS12,9.1,Low Fat,0.174118549,Baking Goods,127.4362,OUT046,1997,Small,Tier 1,Supermarket Type1,,2167.2507
NCZ29,,Low Fat,0.071025838,Health and Hygiene,125.8362,OUT027,1985,Medium,Tier 3,Supermarket Type3,,3420.3962
FDB38,19.5,Regular,0.045772769,Canned,161.392,OUT010,1998,,Tier 3,Grocery Store,,402.9388
FDP12,9.8,Regular,0.045229136,Baking Goods,37.1874,OUT013,1987,High,Tier 3,Supermarket Type1,,594.63763
FDP22,14.65,reg,0.099132174,Snack Foods,51.6666,OUT046,1997,Small,Tier 1,Supermarket Type1,,797.7896
FDS26,20.35,Low Fat,0.08983368,Dairy,261.0594,OUT018,2009,Medium,Tier 3,Supermarket Type2,,3820.7744
FDR52,12.65,Regular,0.076044589,Frozen Foods,191.9846,OUT046,1997,Small,Tier 1,Supermarket Type1,,3265.8286
DRJ13,12.65,Low Fat,0.062890304,Soft Drinks,161.2578,OUT046,1997,Small,Tier 1,Supermarket Type1,,2607.738
FDU48,,Low Fat,0.055090377,Baking Goods,130.7284,OUT027,1985,Medium,Tier 3,Supermarket Type3,,3442.779
FDE29,8.905,Low Fat,0.14310206,Frozen Foods,60.5878,OUT035,2004,Small,Tier 2,Supermarket Type1,,1000.25214
NCT29,12.6,Low Fat,0.0642104,Health and Hygiene,121.7414,OUT049,1999,Medium,Tier 1,Supermarket Type1,,2061.257
DRK37,5.0,Low Fat,0.044183931,Soft Drinks,188.653,OUT018,2009,Medium,Tier 3,Supermarket Type2,,2893.1523
FDK55,18.5,Low Fat,0.025761698,Meat,87.6172,OUT046,1997,Small,Tier 1,Supermarket Type1,,1323.5001
FDR07,21.35,Low Fat,0.077743909,Fruits and Vegetables,96.1094,OUT046,1997,Small,Tier 1,Supermarket Type1,,1530.869
FDO21,,Regular,0.009715743,Snack Foods,224.7404,OUT027,1985,Medium,Tier 3,Supermarket Type3,,5268.1934
FDK46,9.6,Low Fat,0.051547413,Snack Foods,260.662,OUT049,1999,Medium,Tier 1,Supermarket Type1,,4854.202
FDB12,11.15,reg,0.105521226,Baking Goods,104.5648,OUT045,2002,,Tier 2,Supermarket Type1,,1616.4495
FDT31,,low fat,0.012388013,Fruits and Vegetables,188.8872,OUT027,1985,Medium,Tier 3,Supermarket Type3,,4277.2393
FDJ33,8.895,Regular,0.088501299,Snack Foods,124.373,OUT045,2002,,Tier 2,Supermarket Type1,,1869.3019
FDC26,,Low Fat,0.125771078,Canned,109.7886,OUT027,1985,Medium,Tier 3,Supermarket Type3,,3020.6785
NCQ02,12.6,Low Fat,0.007471585,Household,188.1556,OUT045,2002,,Tier 2,Supermarket Type1,,2893.1912
FDP08,20.5,Regular,0.188151371,Fruits and Vegetables,193.4478,OUT010,1998,,Tier 3,Grocery Store,,600.0557
FDB11,,Low Fat,0.06055337,Starchy Foods,225.9404,OUT027,1985,Medium,Tier 3,Supermarket Type3,,5111.6694
FDV55,17.75,Low Fat,0.055027599,Fruits and Vegetables,146.2444,OUT013,1987,High,Tier 3,Supermarket Type1,,2476.3025
FDW20,20.75,Low Fat,0.024186975,Fruits and Vegetables,121.573,OUT049,1999,Medium,Tier 1,Supermarket Type1,,2004.6617
NCJ18,,Low Fat,0.28704117,Household,120.5124,OUT019,1985,Small,Tier 1,Grocery Store,,354.6844
FDC41,15.6,Low Fat,0.1173895,Frozen Foods,75.567,OUT018,2009,Medium,Tier 3,Supermarket Type2,,1017.1284
FDE14,,Regular,0.031292877,Canned,101.37,OUT027,1985,Medium,Tier 3,Supermarket Type3,,2613.219
FDG35,21.2,Regular,0.00703512,Starchy Foods,175.5738,OUT013,1987,High,Tier 3,Supermarket Type1,,2505.4028
FDF45,18.2,Regular,0.012202405,Fruits and Vegetables,57.3904,OUT035,2004,Small,Tier 2,Supermarket Type1,,915.71936
FDS19,,Regular,0.063896351,Fruits and Vegetables,77.5012,OUT027,1985,Medium,Tier 3,Supermarket Type3,,2259.888
FDS58,,Regular,0.036779867,Snack Foods,159.1578,OUT019,1985,Small,Tier 1,Grocery Store,,369.79224
FDA26,7.855,Regular,0.074338562,Dairy,220.4482,OUT017,2007,,Tier 2,Supermarket Type1,,3609.8909
FDM32,20.5,Low Fat,0.020637068,Fruits and Vegetables,87.883,OUT049,1999,Medium,Tier 1,Supermarket Type1,,1262.9877
FDL45,15.6,Low Fat,0.037687837,Snack Foods,126.4704,OUT046,1997,Small,Tier 1,Supermarket Type1,,2112.5366
FDZ55,6.055,Low Fat,0.025448206,Fruits and Vegetables,159.692,OUT049,1999,Medium,Tier 1,Supermarket Type1,,2655.7976
FDY37,17.0,Regular,0.026610182,Canned,141.547,OUT049,1999,Medium,Tier 1,Supermarket Type1,,2350.1064
FDO46,9.6,Regular,0.014212498,Snack Foods,190.8872,OUT046,1997,Small,Tier 1,Supermarket Type1,,2817.5034
FDQ60,6.195,Regular,0.109374441,Baking Goods,119.6098,OUT046,1997,Small,Tier 1,Supermarket Type1,,2036.2432
FDA19,7.52,Low Fat,0.055352065,Fruits and Vegetables,130.1994,OUT018,2009,Medium,Tier 3,Supermarket Type2,,1820.289
FDL15,17.85,Low Fat,0.046634759,Meat,154.2682,OUT046,1997,Small,Tier 1,Supermarket Type1,,2480.5532
FDM10,18.25,Low Fat,0.076281071,Snack Foods,213.0218,OUT018,2009,Medium,Tier 3,Supermarket Type2,,2975.2214
NCL05,19.6,Low Fat,0.048168592,Health and Hygiene,42.677,OUT017,2007,,Tier 2,Supermarket Type1,,684.6619
DRK49,14.15,Low Fat,0.060162413,Soft Drinks,42.0138,OUT010,1998,,Tier 3,Grocery Store,,109.818115
NCE18,,Low Fat,0.021321588,Household,251.375,OUT027,1985,Medium,Tier 3,Supermarket Type3,,5756.279
FDG40,13.65,Low Fat,0.039886263,Frozen Foods,34.3558,OUT049,1999,Medium,Tier 1,Supermarket Type1,,624.43146
DRI59,9.5,Low Fat,0.040917483,Hard Drinks,222.0088,OUT045,2002,,Tier 2,Supermarket Type1,,3796.0576
FDK28,5.695,LF,0.065577504,Frozen Foods,256.2646,OUT035,2004,Small,Tier 2,Supermarket Type1,,4307.4556
NCD06,,Low Fat,0.173905741,Household,46.206,OUT019,1985,Small,Tier 1,Grocery Store,,125.05786
FDO11,,Regular,0.052989927,Breads,250.3092,OUT019,1985,Small,Tier 1,Grocery Store,,481.17322
FDK27,11.0,Low Fat,0.008946536,Meat,119.4756,OUT046,1997,Small,Tier 1,Supermarket Type1,,2042.908
FDT43,,Low Fat,0.020448446,Fruits and Vegetables,50.2324,OUT027,1985,Medium,Tier 3,Supermarket Type3,,1408.592
FDD38,16.75,Regular,0.008225098,Canned,102.1674,OUT018,2009,Medium,Tier 3,Supermarket Type2,,1441.3862
FDA16,6.695,Low Fat,0.033994765,Frozen Foods,219.8456,OUT049,1999,Medium,Tier 1,Supermarket Type1,,3854.8003
FDL14,,Regular,0.032003136,Canned,153.9972,OUT027,1985,Medium,Tier 3,Supermarket Type3,,4030.5776
NCM17,7.93,Low Fat,0.071246467,Health and Hygiene,43.8086,OUT049,1999,Medium,Tier 1,Supermarket Type1,,694.0037
FDD20,14.15,Low Fat,0.020756532,Fruits and Vegetables,123.9046,OUT045,2002,,Tier 2,Supermarket Type1,,2159.155
FDA40,16.0,Regular,0.0,Frozen Foods,88.3856,OUT045,2002,,Tier 2,Supermarket Type1,,1395.0905
FDL43,10.1,Low Fat,0.027119268,Meat,77.767,OUT045,2002,,Tier 2,Supermarket Type1,,1265.4392
FDV15,10.3,Low Fat,0.146468894,Meat,102.6648,OUT045,2002,,Tier 2,Supermarket Type1,,1598.3359
FDE52,10.395,Regular,0.029886798,Dairy,89.5514,OUT046,1997,Small,Tier 1,Supermarket Type1,,1318.2888
NCL17,7.39,Low Fat,0.113449342,Health and Hygiene,143.7812,OUT010,1998,,Tier 3,Grocery Store,,348.64993
NCJ31,19.2,Low Fat,0.183024199,Others,239.3196,OUT045,2002,,Tier 2,Supermarket Type1,,3651.311
FDR60,14.3,Low Fat,0.130679603,Baking Goods,78.4328,OUT045,2002,,Tier 2,Supermarket Type1,,1264.4541
NCA18,10.1,Low Fat,0.05606697,Household,115.6492,OUT035,2004,Small,Tier 2,Supermarket Type1,,1922.4603
FDS21,,Regular,0.020775058,Snack Foods,63.2194,OUT027,1985,Medium,Tier 3,Supermarket Type3,,1740.6875
FDW09,13.65,Regular,0.025915914,Snack Foods,78.3302,OUT035,2004,Small,Tier 2,Supermarket Type1,,1339.6152
FDL26,18.0,Low Fat,0.0,Canned,154.3972,OUT035,2004,Small,Tier 2,Supermarket Type1,,2603.5015
FDS47,16.75,Low Fat,0.129410755,Breads,89.0856,OUT018,2009,Medium,Tier 3,Supermarket Type2,,1151.4755
FDC39,7.405,Low Fat,0.159195426,Dairy,206.4296,OUT046,1997,Small,Tier 1,Supermarket Type1,,3447.5476
FDT51,11.65,Regular,0.010916726,Meat,111.1544,OUT035,2004,Small,Tier 2,Supermarket Type1,,1851.9161
FDK40,7.035,Low Fat,0.021845267,Frozen Foods,263.091,OUT035,2004,Small,Tier 2,Supermarket Type1,,4428.424
NCG19,20.25,Low Fat,0.14823358,Household,235.7616,OUT045,2002,,Tier 2,Supermarket Type1,,3687.1003
FDZ07,15.1,Regular,0.093891315,Fruits and Vegetables,62.0194,OUT046,1997,Small,Tier 1,Supermarket Type1,,954.57086
FDF08,,Regular,0.064891788,Fruits and Vegetables,88.8856,OUT027,1985,Medium,Tier 3,Supermarket Type3,,2418.0105
FDO04,16.6,Low Fat,0.026515122,Frozen Foods,55.2614,OUT013,1987,High,Tier 3,Supermarket Type1,,804.71906
FDK41,14.3,Low Fat,0.128061273,Frozen Foods,83.3224,OUT018,2009,Medium,Tier 3,Supermarket Type2,,1194.9857
FDP15,15.2,Low Fat,0.084073075,Meat,255.533,OUT049,1999,Medium,Tier 1,Supermarket Type1,,4389.046
NCD43,8.85,Low Fat,0.016085216,Household,104.6964,OUT018,2009,Medium,Tier 3,Supermarket Type2,,1428.3099
NCP18,12.15,Low Fat,0.028574451,Household,148.8708,OUT013,1987,High,Tier 3,Supermarket Type1,,2478.23
FDZ51,11.3,Regular,0.0,Meat,93.3094,OUT046,1997,Small,Tier 1,Supermarket Type1,,1598.0619
DRH13,8.575,Low Fat,0.02388144,Soft Drinks,108.428,OUT035,2004,Small,Tier 2,Supermarket Type1,,1702.5531
FDF38,11.8,Regular,0.026411459,Canned,40.1138,OUT045,2002,,Tier 2,Supermarket Type1,,665.61084
NCI43,19.85,Low Fat,0.026021371,Household,49.2376,OUT045,2002,,Tier 2,Supermarket Type1,,775.11993
FDM38,,reg,0.092322059,Canned,54.3982,OUT027,1985,Medium,Tier 3,Supermarket Type3,,1809.5024
FDS03,7.825,Low Fat,0.079562345,Meat,64.7826,OUT013,1987,High,Tier 3,Supermarket Type1,,1006.1498
DRJ47,18.25,Low Fat,0.044500601,Hard Drinks,171.408,OUT017,2007,,Tier 2,Supermarket Type1,,2889.5632
FDT50,6.75,Regular,0.181169873,Dairy,97.3752,OUT010,1998,,Tier 3,Grocery Store,,197.01978
FDV02,16.75,Low Fat,0.060545628,Dairy,172.5106,OUT046,1997,Small,Tier 1,Supermarket Type1,,2921.545
NCG18,15.3,low fat,0.023107874,Household,103.8332,OUT017,2007,,Tier 2,Supermarket Type1,,1699.3416
FDW52,14.0,Regular,0.03752254,Frozen Foods,164.6526,OUT046,1997,Small,Tier 1,Supermarket Type1,,2705.8118
FDS40,15.35,Low Fat,0.014016743,Frozen Foods,36.019,OUT035,2004,Small,Tier 2,Supermarket Type1,,640.4355
FDN31,11.5,low fat,0.073293783,Fruits and Vegetables,191.053,OUT017,2007,,Tier 2,Supermarket Type1,,3274.7617
FDA37,7.81,Regular,0.055338756,Canned,123.1046,OUT045,2002,,Tier 2,Supermarket Type1,,1903.0293
FDA15,9.3,Low Fat,0.01602239,Dairy,249.9092,OUT046,1997,Small,Tier 1,Supermarket Type1,,4339.078
FDL39,16.1,Regular,0.063331355,Dairy,181.1318,OUT046,1997,Small,Tier 1,Supermarket Type1,,3062.8047
FDJ53,10.5,Low Fat,0.071402425,Frozen Foods,122.0098,OUT045,2002,,Tier 2,Supermarket Type1,,1884.3922
FDX22,6.785,Regular,0.022955693,Snack Foods,210.5928,OUT013,1987,High,Tier 3,Supermarket Type1,,3781.9004
NCZ42,10.5,LF,0.011310821,Household,238.7248,OUT045,2002,,Tier 2,Supermarket Type1,,3968.0703
FDD56,,Regular,0.10327572,Fruits and Vegetables,176.2054,OUT027,1985,Medium,Tier 3,Supermarket Type3,,4533.0776
FDD40,20.25,Regular,0.014877034,Dairy,193.5162,OUT017,2007,,Tier 2,Supermarket Type1,,3169.717
FDS50,17.0,Low Fat,0.055387247,Dairy,220.6114,OUT013,1987,High,Tier 3,Supermarket Type1,,3661.5544
NCN14,19.1,Low Fat,0.0,Others,184.4608,OUT013,1987,High,Tier 3,Supermarket Type1,,2835.294
FDT15,12.15,Regular,0.042646003,Meat,183.295,OUT013,1987,High,Tier 3,Supermarket Type1,,3292.9468
NCS18,,Low Fat,0.04200671,Household,108.0938,OUT027,1985,Medium,Tier 3,Supermarket Type3,,2544.8398
NCO26,7.235,Low Fat,0.128640565,Household,114.6492,OUT010,1998,,Tier 3,Grocery Store,,285.97043
FDF58,13.3,Low Fat,0.009620184,Snack Foods,61.451,OUT018,2009,Medium,Tier 3,Supermarket Type2,,841.4377
NCB19,6.525,Low Fat,0.090220566,Household,86.4882,OUT013,1987,High,Tier 3,Supermarket Type1,,1376.9021
FDH26,19.25,Regular,0.034896013,Canned,141.0496,OUT017,2007,,Tier 2,Supermarket Type1,,2151.9382
DRB24,,Low Fat,0.020477579,Soft Drinks,152.8656,OUT027,1985,Medium,Tier 3,Supermarket Type3,,3871.599
FDA49,19.7,Low Fat,0.065186228,Canned,86.3198,OUT018,2009,Medium,Tier 3,Supermarket Type2,,1199.2859
FDB32,20.6,Low Fat,0.023500502,Fruits and Vegetables,95.5778,OUT045,2002,,Tier 2,Supermarket Type1,,1426.3606
FDI36,12.5,Regular,0.0,Baking Goods,196.7426,OUT017,2007,,Tier 2,Supermarket Type1,,3355.247
NCA17,20.6,Low Fat,0.076020756,Health and Hygiene,149.3392,OUT010,1998,,Tier 3,Grocery Store,,353.57144
FDH22,6.405,Low Fat,0.13618752,Snack Foods,125.1678,OUT013,1987,High,Tier 3,Supermarket Type1,,2038.3708
NCM26,20.5,Low Fat,0.0,Others,153.334,OUT018,2009,Medium,Tier 3,Supermarket Type2,,2153.0317
FDT15,,Regular,0.042474835,Meat,183.295,OUT027,1985,Medium,Tier 3,Supermarket Type3,,5559.5845
FDB16,8.21,Low Fat,0.045108792,Dairy,87.0198,OUT018,2009,Medium,Tier 3,Supermarket Type2,,1226.7494
NCP54,,Low Fat,0.034979457,Household,123.473,OUT027,1985,Medium,Tier 3,Supermarket Type3,,3438.1753
FDJ36,14.5,Regular,0.128153336,Baking Goods,102.3332,OUT013,1987,High,Tier 3,Supermarket Type1,,1665.4646
FDO28,5.765,Low Fat,0.072444983,Frozen Foods,119.7098,OUT045,2002,,Tier 2,Supermarket Type1,,1867.8394
FDU09,7.71,Regular,0.066541719,Snack Foods,54.2956,OUT013,1987,High,Tier 3,Supermarket Type1,,833.55145
FDF29,15.1,reg,0.020046943,Frozen Foods,128.831,OUT017,2007,,Tier 2,Supermarket Type1,,2139.8728
FDY08,9.395,Regular,0.170932857,Fruits and Vegetables,140.5838,OUT013,1987,High,Tier 3,Supermarket Type1,,2206.097
DRJ59,11.65,Low Fat,0.019451167,Hard Drinks,37.0164,OUT018,2009,Medium,Tier 3,Supermarket Type2,,422.10422
FDT23,,Regular,0.074369587,Breads,79.3986,OUT027,1985,Medium,Tier 3,Supermarket Type3,,2146.103
FDU15,13.65,Regular,0.026710454,Meat,37.8532,OUT018,2009,Medium,Tier 3,Supermarket Type2,,405.79395
FDT47,5.26,Regular,0.024488439,Breads,96.8068,OUT013,1987,High,Tier 3,Supermarket Type1,,1655.9785
FDI53,,Regular,0.0,Frozen Foods,162.8236,OUT019,1985,Small,Tier 1,Grocery Store,,563.16864
FDR59,14.5,Regular,0.064123704,Breads,262.3594,OUT018,2009,Medium,Tier 3,Supermarket Type2,,3549.755
FDD53,16.2,Low Fat,0.044214135,Frozen Foods,40.4454,OUT035,2004,Small,Tier 2,Supermarket Type1,,695.4093
FDY51,12.5,Low Fat,0.081593757,Meat,219.8798,OUT017,2007,,Tier 2,Supermarket Type1,,3660.3977
FDT04,17.25,Low Fat,0.107208159,Frozen Foods,37.9822,OUT049,1999,Medium,Tier 1,Supermarket Type1,,672.702
FDU51,20.2,Regular,0.096663729,Meat,176.9028,OUT049,1999,Medium,Tier 1,Supermarket Type1,,2885.8926
FDG14,9.0,Regular,0.050491164,Canned,151.7024,OUT035,2004,Small,Tier 2,Supermarket Type1,,2481.746
NCU06,17.6,Low Fat,0.074557961,Household,231.001,OUT045,2002,,Tier 2,Supermarket Type1,,3675.9553
DRG25,10.5,Low Fat,0.019049691,Soft Drinks,186.024,OUT046,1997,Small,Tier 1,Supermarket Type1,,3171.9473
DRH49,19.7,Low Fat,0.024650932,Soft Drinks,83.6592,OUT035,2004,Small,Tier 2,Supermarket Type1,,1321.0836
FDN15,17.5,LF,0.016730894,Meat,139.018,OUT035,2004,Small,Tier 2,Supermarket Type1,,2227.2827
FDL43,10.1,Low Fat,0.02717463,Meat,76.267,OUT018,2009,Medium,Tier 3,Supermarket Type2,,1059.5656
NCT18,14.6,Low Fat,0.059497511,Household,182.4976,OUT049,1999,Medium,Tier 1,Supermarket Type1,,3405.6213
NCB31,6.235,Low Fat,0.118575601,Household,260.991,OUT013,1987,High,Tier 3,Supermarket Type1,,3854.3274
FDK57,10.195,Low Fat,0.080277707,Snack Foods,119.144,OUT035,2004,Small,Tier 2,Supermarket Type1,,1852.4401
FDY04,,Regular,0.074370772,Frozen Foods,162.921,OUT019,1985,Small,Tier 1,Grocery Store,,453.09
NCP54,15.35,Low Fat,0.03514967,Household,121.673,OUT046,1997,Small,Tier 1,Supermarket Type1,,2080.7449
FDF41,12.15,Low Fat,0.131070648,Frozen Foods,244.346,OUT013,1987,High,Tier 3,Supermarket Type1,,3697.7083
FDM01,7.895,Regular,0.0,Breakfast,102.4332,OUT045,2002,,Tier 2,Supermarket Type1,,1647.8539
FDW03,5.63,Regular,0.024591047,Meat,104.3306,OUT045,2002,,Tier 2,Supermarket Type1,,1668.974
FDF28,15.7,Regular,0.037941512,Frozen Foods,122.8046,OUT045,2002,,Tier 2,Supermarket Type1,,1947.8353
FDY37,17.0,Regular,0.026719159,Canned,142.047,OUT017,2007,,Tier 2,Supermarket Type1,,2348.8787
FDQ03,15.0,Regular,0.078455536,Meat,237.3248,OUT017,2007,,Tier 2,Supermarket Type1,,3863.1653
FDP51,,Regular,0.08486204,Meat,120.0124,OUT027,1985,Medium,Tier 3,Supermarket Type3,,2980.7114
FDJ40,13.6,Regular,0.049869757,Frozen Foods,110.9912,OUT017,2007,,Tier 2,Supermarket Type1,,1809.2267
FDC32,18.35,Low Fat,0.099263089,Fruits and Vegetables,93.4462,OUT049,1999,Medium,Tier 1,Supermarket Type1,,1525.7668
DRI49,,Low Fat,0.182618653,Soft Drinks,81.6276,OUT027,1985,Medium,Tier 3,Supermarket Type3,,2187.463
NCW54,7.5,Low Fat,0.096958614,Household,55.3588,OUT017,2007,,Tier 2,Supermarket Type1,,909.8716
FDF09,6.215,Low Fat,0.012217624,Fruits and Vegetables,37.7848,OUT017,2007,,Tier 2,Supermarket Type1,,586.4507
FDP45,15.7,Regular,0.030749596,Snack Foods,250.6724,OUT018,2009,Medium,Tier 3,Supermarket Type2,,3725.9429
DRJ23,18.35,Low Fat,0.041838623,Hard Drinks,187.1872,OUT018,2009,Medium,Tier 3,Supermarket Type2,,2953.2683
FDS59,14.8,Regular,0.044141726,Breads,111.157,OUT017,2007,,Tier 2,Supermarket Type1,,1797.952
FDY08,9.395,Regular,0.171075221,Fruits and Vegetables,138.9838,OUT046,1997,Small,Tier 1,Supermarket Type1,,2095.7332
FDX16,17.85,low fat,0.065912362,Frozen Foods,147.805,OUT049,1999,Medium,Tier 1,Supermarket Type1,,2455.6006
FDY16,18.35,Regular,0.092602446,Frozen Foods,184.7266,OUT018,2009,Medium,Tier 3,Supermarket Type2,,2975.0776
FDK32,16.25,Regular,0.0,Fruits and Vegetables,152.8682,OUT035,2004,Small,Tier 2,Supermarket Type1,,2643.0684
FDQ22,16.75,LF,0.029714904,Snack Foods,39.3822,OUT013,1987,High,Tier 3,Supermarket Type1,,636.97546
NCC31,8.02,Low Fat,0.019951406,Household,155.9972,OUT018,2009,Medium,Tier 3,Supermarket Type2,,2134.9863
FDG58,10.695,Regular,0.086916126,Snack Foods,153.7972,OUT049,1999,Medium,Tier 1,Supermarket Type1,,2437.874
DRF48,5.73,Low Fat,0.051758358,Soft Drinks,189.0898,OUT013,1987,High,Tier 3,Supermarket Type1,,3112.4258
DRH36,16.2,Low Fat,0.033431957,Soft Drinks,73.3696,OUT049,1999,Medium,Tier 1,Supermarket Type1,,1173.0883
NCR30,20.6,Low Fat,0.070979549,Household,75.5696,OUT035,2004,Small,Tier 2,Supermarket Type1,,1204.8268
FDB03,,Regular,0.274592283,Dairy,242.2538,OUT019,1985,Small,Tier 1,Grocery Store,,595.0758
FDZ28,,Regular,0.051243144,Frozen Foods,126.1678,OUT027,1985,Medium,Tier 3,Supermarket Type3,,3548.3074
FDR35,12.5,Low Fat,0.020814797,Breads,198.4742,OUT017,2007,,Tier 2,Supermarket Type1,,3194.6416
DRD15,,LF,0.056520886,Dairy,232.6642,OUT027,1985,Medium,Tier 3,Supermarket Type3,,6022.9873
FDJ33,,Regular,0.154640734,Snack Foods,124.273,OUT019,1985,Small,Tier 1,Grocery Store,,307.8774
FDA56,9.21,LF,0.014670454,Fruits and Vegetables,120.2414,OUT010,1998,,Tier 3,Grocery Store,,206.89429
FDP56,8.185,Low Fat,0.046484138,Fruits and Vegetables,47.9692,OUT046,1997,Small,Tier 1,Supermarket Type1,,771.0431
NCT30,9.1,Low Fat,0.08029289,Household,48.1718,OUT046,1997,Small,Tier 1,Supermarket Type1,,772.14825
FDK15,10.8,Low Fat,0.098970494,Meat,100.3042,OUT017,2007,,Tier 2,Supermarket Type1,,1670.0278
FDH44,19.1,Regular,0.0,Fruits and Vegetables,146.9418,OUT018,2009,Medium,Tier 3,Supermarket Type2,,2158.4302
FDV01,19.2,Regular,0.084879879,Canned,154.6314,OUT013,1987,High,Tier 3,Supermarket Type1,,2408.0376
DRG03,14.5,Low Fat,0.062337196,Dairy,152.4998,OUT017,2007,,Tier 2,Supermarket Type1,,2482.282
FDG50,,Low Fat,0.015197838,Canned,89.7146,OUT027,1985,Medium,Tier 3,Supermarket Type3,,2489.6157
FDR16,5.845,Regular,0.175778605,Frozen Foods,214.9218,OUT010,1998,,Tier 3,Grocery Store,,743.68567
FDZ60,20.5,Low Fat,0.119361811,Baking Goods,107.8596,OUT046,1997,Small,Tier 1,Supermarket Type1,,1571.3035
DRG03,14.5,Low Fat,0.062112285,Dairy,154.2998,OUT045,2002,,Tier 2,Supermarket Type1,,2459.0586
FDS56,5.785,Regular,0.038914743,Fruits and Vegetables,264.0252,OUT018,2009,Medium,Tier 3,Supermarket Type2,,3741.6335
FDU33,7.63,Regular,0.134982959,Snack Foods,45.2402,OUT045,2002,,Tier 2,Supermarket Type1,,786.2532
DRD27,18.75,Low Fat,0.023835413,Dairy,99.1042,OUT035,2004,Small,Tier 2,Supermarket Type1,,1664.3489
FDW22,9.695,Regular,0.0,Snack Foods,223.1114,OUT046,1997,Small,Tier 1,Supermarket Type1,,3209.3882
DRA24,19.35,Regular,0.040009212,Soft Drinks,163.2868,OUT045,2002,,Tier 2,Supermarket Type1,,2468.4495
FDF38,11.8,Regular,0.026398984,Canned,38.9138,OUT049,1999,Medium,Tier 1,Supermarket Type1,,667.5735
FDX48,17.75,Regular,0.037856364,Baking Goods,154.3656,OUT013,1987,High,Tier 3,Supermarket Type1,,2510.2449
FDS58,9.285,Regular,0.021092185,Snack Foods,160.8578,OUT018,2009,Medium,Tier 3,Supermarket Type2,,2450.221
FDC32,18.35,Low Fat,0.099109001,Fruits and Vegetables,92.9462,OUT046,1997,Small,Tier 1,Supermarket Type1,,1578.0059
NCQ29,12.0,Low Fat,0.104441517,Health and Hygiene,261.7278,OUT045,2002,,Tier 2,Supermarket Type1,,3444.3613
DRK39,7.02,Low Fat,0.05006853,Dairy,84.025,OUT018,2009,Medium,Tier 3,Supermarket Type2,,1225.6449
NCS38,8.6,Low Fat,0.090701591,Household,114.2176,OUT017,2007,,Tier 2,Supermarket Type1,,2033.3896
DRO47,10.195,Low Fat,0.112131275,Hard Drinks,112.086,OUT013,1987,High,Tier 3,Supermarket Type1,,1748.2565
DRG27,,Low Fat,0.104601689,Dairy,42.3138,OUT027,1985,Medium,Tier 3,Supermarket Type3,,1084.3077
FDC57,,Regular,0.054330154,Fruits and Vegetables,191.482,OUT027,1985,Medium,Tier 3,Supermarket Type3,,5715.029
FDS55,7.02,Low Fat,0.081164178,Fruits and Vegetables,146.7734,OUT046,1997,Small,Tier 1,Supermarket Type1,,2369.992
NCJ06,20.1,Low Fat,0.034793779,Household,119.8782,OUT018,2009,Medium,Tier 3,Supermarket Type2,,1684.7584
FDO01,,Regular,0.036275691,Breakfast,129.5994,OUT019,1985,Small,Tier 1,Grocery Store,,287.5185
NCM55,15.6,Low Fat,0.066861456,Others,185.7924,OUT045,2002,,Tier 2,Supermarket Type1,,2867.4558
FDC52,11.15,Regular,0.008292773,Dairy,152.2708,OUT049,1999,Medium,Tier 1,Supermarket Type1,,2484.73
FDQ15,20.35,Regular,0.151379828,Meat,80.1276,OUT045,2002,,Tier 2,Supermarket Type1,,1127.076
NCT30,,Low Fat,0.079904068,Household,47.5718,OUT027,1985,Medium,Tier 3,Supermarket Type3,,1470.6163
NCR42,,Low Fat,0.038295533,Household,32.39,OUT027,1985,Medium,Tier 3,Supermarket Type3,,936.8937
FDD28,10.695,Low Fat,0.0,Frozen Foods,57.8904,OUT035,2004,Small,Tier 2,Supermarket Type1,,878.76874
FDQ34,10.85,Low Fat,0.162494861,Snack Foods,104.5622,OUT049,1999,Medium,Tier 1,Supermarket Type1,,1674.528
FDZ12,,Low Fat,0.102480138,Baking Goods,142.747,OUT027,1985,Medium,Tier 3,Supermarket Type3,,3166.3296
DRE13,,Low Fat,0.048508058,Soft Drinks,86.1198,OUT019,1985,Small,Tier 1,Grocery Store,,222.11699
NCN07,,Low Fat,0.059432784,Others,133.0284,OUT019,1985,Small,Tier 1,Grocery Store,,298.84946
FDM28,15.7,Low Fat,0.045195307,Frozen Foods,180.766,OUT035,2004,Small,Tier 2,Supermarket Type1,,3219.565
FDI10,8.51,Regular,0.078847814,Snack Foods,171.5422,OUT017,2007,,Tier 2,Supermarket Type1,,2947.321
FDQ25,8.63,Regular,0.028253161,Canned,170.4422,OUT013,1987,High,Tier 3,Supermarket Type1,,2652.125
FDA38,5.44,Low Fat,0.042648161,Dairy,241.5538,OUT010,1998,,Tier 3,Grocery Store,,538.5163
DRI13,15.35,Low Fat,0.020358565,Soft Drinks,216.5508,OUT049,1999,Medium,Tier 1,Supermarket Type1,,3428.337
FDY20,,Regular,0.081356869,Fruits and Vegetables,90.2488,OUT027,1985,Medium,Tier 3,Supermarket Type3,,2479.3657
